credit_appl,account_balance,duration_credit_month,payment_status,purpose,credit_amount,value_savings_stocks,length_current_employment,installment_per_cent,Most_valuable_asset_available,age_years,type_of_apartment,num_credits_at_bank
Non-creditworthy,No Account,24,Paid Up,Home Related,1246,None,< 1yr,4,1,23,2,1
Creditworthy,Some Balance,24,Paid Up,Home Related,1249,None,< 1yr,4,1,28,2,1
Creditworthy,Some Balance,24,Paid Up,Home Related,1258,None,1 - 4yrs,4,1,25,2,1
Creditworthy,Some Balance,24,Paid Up,Home Related,1258,100 - 1000,< 1yr,3,3,57,2,1
Creditworthy,Some Balance,24,No problems,Home Related,1275,100 - 1000,< 1yr,2,1,36,2,More than 1
Creditworthy,Some Balance,24,Paid Up,Home Related,1278,None,4 - 7yrs,4,1,36,2,1
Creditworthy,Some Balance,24,No problems,Home Related,1287,100 - 1000,4 - 7yrs,4,1,37,2,More than 1
Creditworthy,Some Balance,24,Paid Up,Home Related,1311,< 100,1 - 4yrs,4,2,26,2,1
Non-creditworthy,Some Balance,24,No problems,Home Related,1344,100 - 1000,1 - 4yrs,4,1,37,2,More than 1
Non-creditworthy,No Account,24,Paid Up,Home Related,1355,None,< 1yr,3,3,25,2,1
Non-creditworthy,No Account,24,some problems,Home Related,1358,100 - 1000,4 - 7yrs,4,3,40,2,1
Non-creditworthy,No Account,24,Paid Up,Home Related,1371,100 - 1000,< 1yr,4,1,25,1,1
Creditworthy,Some Balance,24,Paid Up,Home Related,1376,100 - 1000,1 - 4yrs,4,3,28,2,1
Creditworthy,Some Balance,24,Paid Up,Home Related,1377,< 100,4 - 7yrs,4,4,47,3,1
Creditworthy,No Account,24,No problems,Home Related,1382,< 100,1 - 4yrs,4,1,26,2,More than 1
Creditworthy,Some Balance,24,Paid Up,Home Related,1393,None,< 1yr,2,1,31,2,1
Creditworthy,Some Balance,24,Paid Up,Home Related,1413,None,< 1yr,4,2,28,2,1
Non-creditworthy,No Account,24,Paid Up,Home Related,1442,None,1 - 4yrs,4,3,23,1,More than 1
Creditworthy,Some Balance,24,Paid Up,Home Related,1469,< 100,4 - 7yrs,4,1,41,1,1
Creditworthy,Some Balance,24,No problems,Home Related,1516,100 - 1000,< 1yr,4,1,43,2,More than 1
Non-creditworthy,No Account,24,some problems,Home Related,1546,None,1 - 4yrs,4,3,24,1,1
Creditworthy,Some Balance,24,Paid Up,Home Related,1552,None,1 - 4yrs,3,3,32,2,1
Creditworthy,No Account,24,No problems,Home Related,1553,< 100,1 - 4yrs,3,2,23,1,More than 1
Creditworthy,Some Balance,24,No problems,Home Related,1597,None,4 - 7yrs,4,4,54,3,More than 1
Creditworthy,No Account,24,No problems,Home Related,1743,None,4 - 7yrs,4,2,48,2,More than 1
Creditworthy,No Account,24,Paid Up,Used Car,1747,None,< 1yr,4,2,24,2,1
Non-creditworthy,No Account,24,some problems,Home Related,1837,None,1 - 4yrs,4,4,34,3,1
Creditworthy,Some Balance,24,No problems,Home Related,1851,None,1 - 4yrs,4,3,33,2,More than 1
Creditworthy,Some Balance,24,Paid Up,Home Related,1901,< 100,< 1yr,4,3,29,1,1
Creditworthy,Some Balance,24,Paid Up,Used Car,1925,None,< 1yr,2,1,26,2,1
Creditworthy,Some Balance,24,No problems,Home Related,1927,100 - 1000,< 1yr,3,3,33,2,More than 1
Non-creditworthy,No Account,24,No problems,Home Related,1935,None,4 - 7yrs,4,1,31,2,More than 1
Creditworthy,Some Balance,24,No problems,Home Related,1940,100 - 1000,4 - 7yrs,4,1,60,2,1
Creditworthy,No Account,24,No problems,Home Related,1965,100 - 1000,< 1yr,4,3,42,1,More than 1
Creditworthy,No Account,24,Paid Up,Home Related,1967,None,4 - 7yrs,4,3,20,2,1
Creditworthy,Some Balance,24,No problems,Home Related,2022,None,< 1yr,4,3,37,2,1
Creditworthy,Some Balance,24,No problems,Used Car,2028,None,1 - 4yrs,2,2,30,2,More than 1
Non-creditworthy,No Account,24,No problems,Used Car,2064,None,< 1yr,3,2,34,2,1
Creditworthy,Some Balance,24,No problems,New Car,2197,100 - 1000,1 - 4yrs,4,3,43,2,More than 1
Creditworthy,No Account,24,some problems,Home Related,2325,< 100,1 - 4yrs,2,3,32,2,1
Creditworthy,Some Balance,24,No problems,New Car,2346,None,1 - 4yrs,4,3,35,2,More than 1
Creditworthy,No Account,24,Paid Up,Other,2384,None,4 - 7yrs,4,1,33,1,1
Creditworthy,No Account,24,Paid Up,Home Related,2384,None,4 - 7yrs,4,1,64,1,1
Non-creditworthy,No Account,24,Paid Up,Home Related,2439,None,< 1yr,4,1,35,2,1
Creditworthy,Some Balance,24,No problems,Home Related,2463,< 100,1 - 4yrs,4,2,27,2,More than 1
Creditworthy,Some Balance,24,No problems,Home Related,2578,100 - 1000,4 - 7yrs,2,3,34,2,1
Creditworthy,Some Balance,24,Paid Up,New Car,2670,None,4 - 7yrs,4,3,35,2,1
Creditworthy,Some Balance,24,Paid Up,New Car,2679,None,< 1yr,4,4,29,2,1
Creditworthy,Some Balance,24,No problems,Home Related,2684,None,< 1yr,4,1,35,2,More than 1
Creditworthy,No Account,24,No problems,Home Related,2825,100 - 1000,1 - 4yrs,4,4,34,2,More than 1
Creditworthy,No Account,24,some problems,Used Car,2828,100 - 1000,< 1yr,4,1,22,2,1
Creditworthy,Some Balance,24,Paid Up,Used Car,2835,100 - 1000,4 - 7yrs,3,2,53,2,1
Creditworthy,Some Balance,24,No problems,Home Related,2872,< 100,4 - 7yrs,3,1,36,2,1
Creditworthy,Some Balance,24,Paid Up,Used Car,2892,None,4 - 7yrs,3,4,51,3,1
Creditworthy,No Account,24,Paid Up,Home Related,2896,< 100,< 1yr,2,3,29,2,1
Creditworthy,No Account,24,Paid Up,New Car,2910,None,1 - 4yrs,2,4,34,3,1
Creditworthy,Some Balance,24,No problems,Home Related,2978,100 - 1000,< 1yr,4,1,32,2,More than 1
Creditworthy,No Account,24,Paid Up,Used Car,3021,None,< 1yr,2,1,24,1,1
Non-creditworthy,No Account,24,Paid Up,Home Related,3092,< 100,< 1yr,3,3,22,1,1
Creditworthy,Some Balance,24,Paid Up,Home Related,3105,100 - 1000,< 1yr,4,3,25,2,More than 1
Non-creditworthy,No Account,24,some problems,Home Related,3161,None,< 1yr,4,2,31,1,1
Creditworthy,Some Balance,24,Paid Up,Home Related,3235,100 - 1000,4 - 7yrs,3,3,36,2,1
Non-creditworthy,No Account,24,some problems,Used Car,3349,100 - 1000,< 1yr,4,4,30,3,1
Creditworthy,Some Balance,24,Paid Up,Home Related,3430,100 - 1000,4 - 7yrs,3,3,31,2,1
Non-creditworthy,No Account,24,some problems,Used Car,3552,None,1 - 4yrs,3,3,27,2,1
Creditworthy,Some Balance,24,No problems,Other,3617,100 - 1000,4 - 7yrs,4,4,33,1,More than 1
Creditworthy,Some Balance,24,No problems,Used Car,3617,100 - 1000,4 - 7yrs,4,4,20,1,More than 1
Creditworthy,No Account,24,some problems,New Car,3632,None,< 1yr,1,3,22,1,1
Creditworthy,Some Balance,24,Paid Up,Used Car,3749,None,< 1yr,2,3,26,2,1
Creditworthy,Some Balance,24,Paid Up,Home Related,3757,None,4 - 7yrs,4,4,62,3,1
Creditworthy,Some Balance,24,No problems,New Car,3868,None,4 - 7yrs,4,3,41,1,More than 1
Creditworthy,No Account,24,Paid Up,Used Car,4020,None,< 1yr,2,3,27,2,1
Creditworthy,Some Balance,24,No problems,New Car,4042,100 - 1000,1 - 4yrs,3,2,43,2,More than 1
Non-creditworthy,No Account,24,Paid Up,New Car,4113,100 - 1000,< 1yr,3,3,28,1,1
Creditworthy,Some Balance,24,No problems,Home Related,4139,< 100,< 1yr,3,2,27,2,More than 1
Creditworthy,Some Balance,24,No problems,Used Car,4151,< 100,< 1yr,2,2,35,2,More than 1
Non-creditworthy,No Account,24,some problems,Home Related,4241,None,< 1yr,1,1,36,2,More than 1
Creditworthy,No Account,24,Paid Up,Used Car,4351,100 - 1000,< 1yr,1,2,48,2,1
Creditworthy,Some Balance,24,No problems,Home Related,4526,None,< 1yr,3,1,74,2,1
Non-creditworthy,Some Balance,24,Paid Up,Home Related,4591,100 - 1000,< 1yr,2,2,54,2,More than 1
Non-creditworthy,No Account,24,No problems,Used Car,4736,None,< 1yr,2,3,25,2,1
Non-creditworthy,No Account,24,Paid Up,Home Related,4817,None,1 - 4yrs,2,2,31,2,1
Non-creditworthy,No Account,24,No problems,Home Related,4870,None,< 1yr,3,4,53,3,More than 1
Creditworthy,Some Balance,24,No problems,Other,5103,None,< 1yr,3,4,33,3,More than 1
Creditworthy,Some Balance,24,No problems,Home Related,5103,None,< 1yr,3,4,47,3,More than 1
Creditworthy,Some Balance,24,Paid Up,New Car,5433,100 - 1000,< 1yr,2,2,26,1,1
Creditworthy,Some Balance,24,No problems,Home Related,5507,None,4 - 7yrs,3,4,44,3,More than 1
Creditworthy,Some Balance,24,Paid Up,Used Car,5511,< 100,< 1yr,4,3,25,2,1
Creditworthy,No Account,24,No problems,Home Related,5743,None,< 1yr,2,4,24,3,More than 1
Creditworthy,Some Balance,24,No problems,New Car,5804,100 - 1000,< 1yr,4,1,27,2,More than 1
Non-creditworthy,Some Balance,24,Paid Up,Home Related,5943,100 - 1000,< 1yr,1,3,44,2,More than 1
Creditworthy,No Account,24,No problems,Home Related,6403,None,< 1yr,1,3,33,2,1
Creditworthy,No Account,24,No problems,New Car,6419,None,4 - 7yrs,2,4,44,3,More than 1
Creditworthy,No Account,24,No problems,New Car,6615,None,< 1yr,2,4,75,3,More than 1
Creditworthy,No Account,24,No problems,Home Related,6967,< 100,1 - 4yrs,4,3,36,1,1
Creditworthy,Some Balance,24,Paid Up,Home Related,7393,None,< 1yr,1,2,43,2,1
Non-creditworthy,Some Balance,24,No problems,Home Related,8648,None,< 1yr,2,3,27,2,More than 1
Creditworthy,Some Balance,24,Paid Up,New Car,9277,100 - 1000,< 1yr,2,4,48,3,1
Non-creditworthy,No Account,24,No problems,Home Related,11938,None,< 1yr,2,3,39,2,More than 1
Non-creditworthy,No Account,24,Paid Up,New Car,12579,None,4 - 7yrs,4,4,44,3,1
Creditworthy,No Account,26,Paid Up,New Car,7966,None,< 1yr,2,3,30,2,More than 1
Non-creditworthy,No Account,27,No problems,Home Related,2520,100 - 1000,< 1yr,4,2,23,2,More than 1
Non-creditworthy,Some Balance,27,Paid Up,Home Related,2570,None,< 1yr,3,1,21,1,1
Creditworthy,Some Balance,27,No problems,Home Related,5117,None,1 - 4yrs,3,3,26,2,More than 1
Creditworthy,No Account,27,No problems,New Car,5965,None,4 - 7yrs,1,3,30,2,More than 1
Creditworthy,Some Balance,27,No problems,New Car,8613,100 - 1000,< 1yr,2,3,27,2,More than 1
Creditworthy,Some Balance,28,No problems,Home Related,2743,None,4 - 7yrs,4,3,29,2,More than 1
Non-creditworthy,No Account,28,Paid Up,Home Related,4006,None,< 1yr,3,3,45,2,1
Creditworthy,Some Balance,28,some problems,New Car,7824,100 - 1000,< 1yr,3,1,40,1,More than 1
Creditworthy,Some Balance,30,Paid Up,Other,1867,100 - 1000,4 - 7yrs,4,3,33,2,1
Creditworthy,Some Balance,30,Paid Up,Home Related,1867,100 - 1000,4 - 7yrs,4,3,58,2,1
Non-creditworthy,Some Balance,30,No problems,Home Related,1908,None,4 - 7yrs,4,1,66,2,1
Non-creditworthy,No Account,30,No problems,Home Related,1919,< 100,< 1yr,4,4,30,2,More than 1
Non-creditworthy,No Account,30,Paid Up,Home Related,2150,None,< 1yr,4,4,24,2,1
Creditworthy,No Account,30,No problems,Home Related,2181,100 - 1000,4 - 7yrs,4,1,36,2,More than 1
Creditworthy,Some Balance,30,Paid Up,Home Related,2333,100 - 1000,4 - 7yrs,4,3,30,2,1
Creditworthy,No Account,30,Paid Up,Home Related,2522,None,4 - 7yrs,1,2,39,2,1
Creditworthy,No Account,30,Paid Up,Home Related,2991,100 - 1000,4 - 7yrs,2,3,25,2,1
Creditworthy,Some Balance,30,No problems,Home Related,3017,None,4 - 7yrs,4,2,47,2,1
Creditworthy,Some Balance,30,No problems,Home Related,3077,100 - 1000,4 - 7yrs,3,3,40,2,More than 1
Creditworthy,Some Balance,30,No problems,Home Related,3656,100 - 1000,4 - 7yrs,4,2,49,2,More than 1
Creditworthy,No Account,30,some problems,Home Related,4221,None,< 1yr,2,3,28,2,More than 1
Non-creditworthy,No Account,30,No problems,Home Related,4249,None,< 1yr,4,3,28,2,More than 1
Creditworthy,Some Balance,30,No problems,Home Related,4272,< 100,< 1yr,2,2,26,2,More than 1
Non-creditworthy,No Account,30,some problems,Home Related,4280,< 100,< 1yr,4,3,26,1,More than 1
Creditworthy,Some Balance,30,Paid Up,New Car,4811,100 - 1000,1 - 4yrs,2,2,24,1,1
Creditworthy,No Account,30,No problems,New Car,6187,< 100,1 - 4yrs,1,3,24,1,More than 1
Creditworthy,Some Balance,33,No problems,Home Related,2764,None,< 1yr,2,3,26,2,More than 1
Non-creditworthy,No Account,33,No problems,Used Car,4281,100 - 1000,< 1yr,1,3,23,2,More than 1
Creditworthy,Some Balance,33,No problems,New Car,7253,None,1 - 4yrs,3,3,35,2,More than 1
Creditworthy,Some Balance,36,Paid Up,Home Related,909,100 - 1000,4 - 7yrs,4,2,36,2,1
Non-creditworthy,No Account,36,Paid Up,Home Related,1842,None,< 1yr,4,3,34,2,1
Non-creditworthy,No Account,36,No problems,Home Related,2145,None,1 - 4yrs,2,3,24,2,More than 1
Non-creditworthy,No Account,36,No problems,Home Related,2225,None,4 - 7yrs,4,4,57,3,More than 1
Creditworthy,No Account,36,Paid Up,Home Related,2273,None,1 - 4yrs,3,3,32,2,More than 1
Creditworthy,Some Balance,36,Paid Up,Home Related,2299,100 - 1000,4 - 7yrs,4,3,39,2,1
Creditworthy,No Account,36,Paid Up,Home Related,2323,None,1 - 4yrs,4,3,24,1,1
Creditworthy,No Account,36,No problems,Used Car,2348,None,< 1yr,3,2,46,2,More than 1
Creditworthy,Some Balance,36,Paid Up,Home Related,2394,100 - 1000,< 1yr,4,3,25,2,1
Creditworthy,Some Balance,36,some problems,Home Related,2613,None,< 1yr,4,3,27,2,More than 1
Non-creditworthy,No Account,36,Paid Up,Home Related,2671,< 100,< 1yr,4,4,50,3,1
Non-creditworthy,No Account,36,some problems,Used Car,2746,None,4 - 7yrs,4,3,31,2,1
Non-creditworthy,No Account,36,No problems,Home Related,2820,None,< 1yr,4,3,27,2,More than 1
Creditworthy,No Account,36,No problems,Home Related,2862,< 100,4 - 7yrs,4,4,30,3,1
Creditworthy,Some Balance,36,Paid Up,Home Related,3079,100 - 1000,< 1yr,4,1,36,2,1
Creditworthy,Some Balance,36,No problems,Home Related,3535,None,1 - 4yrs,4,3,37,2,More than 1
Creditworthy,Some Balance,36,Paid Up,Home Related,3595,None,4 - 7yrs,4,3,28,2,1
Creditworthy,No Account,36,Paid Up,Used Car,3620,None,< 1yr,1,2,37,2,1
Creditworthy,No Account,36,Paid Up,Home Related,3711,100 - 1000,< 1yr,2,3,27,2,1
Non-creditworthy,No Account,36,some problems,Home Related,3804,None,< 1yr,4,3,42,2,1
Non-creditworthy,Some Balance,36,Paid Up,Home Related,4210,None,< 1yr,4,3,26,2,1
Creditworthy,Some Balance,36,No problems,Home Related,4454,None,< 1yr,4,1,34,2,More than 1
Non-creditworthy,No Account,36,No problems,Home Related,4455,None,< 1yr,2,1,30,2,More than 1
Creditworthy,Some Balance,36,Paid Up,Home Related,4473,None,4 - 7yrs,4,3,31,2,1
Non-creditworthy,No Account,36,Paid Up,Used Car,5179,None,1 - 4yrs,4,2,29,2,1
Creditworthy,Some Balance,36,Paid Up,Home Related,5848,None,< 1yr,4,3,24,2,1
Non-creditworthy,No Account,36,No problems,Home Related,6887,None,< 1yr,4,2,29,2,1
Creditworthy,No Account,36,Paid Up,New Car,6948,None,< 1yr,2,3,35,1,1
Creditworthy,No Account,36,No problems,Home Related,7432,None,< 1yr,2,2,54,1,1
Non-creditworthy,Some Balance,36,No problems,Home Related,7855,None,< 1yr,4,1,25,2,More than 1
Non-creditworthy,Some Balance,36,No problems,Home Related,7980,100 - 1000,< 1yr,4,3,27,1,More than 1
Non-creditworthy,No Account,36,No problems,Home Related,8065,None,< 1yr,3,4,25,2,More than 1
Creditworthy,Some Balance,36,Paid Up,New Car,8133,None,< 1yr,1,2,30,2,1
Non-creditworthy,No Account,36,Paid Up,New Car,8229,None,< 1yr,2,2,26,2,1
Non-creditworthy,No Account,36,Paid Up,Used Car,9034,< 100,< 1yr,4,4,29,1,1
Non-creditworthy,No Account,36,Paid Up,New Car,9398,None,< 1yr,1,3,28,1,1
Creditworthy,Some Balance,36,No problems,Home Related,9566,None,< 1yr,2,3,31,2,More than 1
Creditworthy,Some Balance,36,No problems,New Car,10477,100 - 1000,4 - 7yrs,2,4,42,3,More than 1
Non-creditworthy,No Account,36,Paid Up,Home Related,12612,< 100,< 1yr,1,4,47,3,1
Non-creditworthy,No Account,36,Paid Up,Other,14318,None,4 - 7yrs,4,4,57,3,1
Non-creditworthy,No Account,36,Paid Up,Home Related,14318,None,4 - 7yrs,4,4,57,3,1
Creditworthy,Some Balance,39,Paid Up,New Car,2569,100 - 1000,< 1yr,4,3,24,2,1
Creditworthy,Some Balance,39,Paid Up,New Car,8588,< 100,4 - 7yrs,4,3,45,2,1
Creditworthy,No Account,39,No problems,Home Related,11760,< 100,1 - 4yrs,2,4,32,1,1
Non-creditworthy,No Account,40,No problems,Home Related,5998,None,< 1yr,4,4,27,2,1
Non-creditworthy,No Account,42,Paid Up,Home Related,3965,None,< 1yr,4,3,34,2,1
Creditworthy,Some Balance,42,No problems,Used Car,4041,100 - 1000,< 1yr,4,1,36,2,More than 1
Creditworthy,No Account,42,No problems,Home Related,5954,None,1 - 4yrs,2,1,41,2,More than 1
Creditworthy,Some Balance,42,Paid Up,Home Related,7166,100 - 1000,1 - 4yrs,2,2,29,1,1
Non-creditworthy,No Account,42,Paid Up,Home Related,7174,100 - 1000,1 - 4yrs,4,3,30,2,1
Non-creditworthy,No Account,45,Paid Up,Home Related,1845,None,< 1yr,4,4,23,3,1
Non-creditworthy,No Account,45,Paid Up,Home Related,3031,< 100,< 1yr,4,2,21,1,1
Creditworthy,No Account,45,No problems,New Car,4576,< 100,< 1yr,3,3,27,2,1
Non-creditworthy,No Account,45,some problems,Home Related,11816,None,4 - 7yrs,2,3,29,1,More than 1
Creditworthy,No Account,47,Paid Up,Home Related,10722,None,< 1yr,1,1,35,2,1
Creditworthy,Some Balance,48,No problems,New Car,2751,100 - 1000,4 - 7yrs,4,3,38,2,More than 1
Non-creditworthy,No Account,48,Paid Up,Home Related,3060,None,1 - 4yrs,4,1,28,2,More than 1
Creditworthy,No Account,48,some problems,Home Related,3566,< 100,1 - 4yrs,4,3,30,2,1
Creditworthy,Some Balance,48,No problems,Home Related,3578,100 - 1000,4 - 7yrs,4,1,47,2,1
Creditworthy,Some Balance,48,some problems,Home Related,3609,None,< 1yr,1,1,27,2,1
Non-creditworthy,No Account,48,Paid Up,Home Related,3931,None,1 - 4yrs,4,4,46,3,1
Non-creditworthy,No Account,48,Paid Up,Home Related,4308,None,< 1yr,3,2,24,1,1
Creditworthy,No Account,48,Paid Up,New Car,4788,None,1 - 4yrs,4,2,26,2,1
Non-creditworthy,Some Balance,48,Paid Up,Home Related,4844,None,< 1yr,3,3,33,1,1
Non-creditworthy,No Account,48,No problems,Used Car,5096,None,< 1yr,2,3,30,2,1
Non-creditworthy,No Account,48,Paid Up,Home Related,5951,None,< 1yr,2,1,22,2,1
Creditworthy,Some Balance,48,No problems,Home Related,6110,None,< 1yr,1,4,31,3,1
Non-creditworthy,No Account,48,No problems,New Car,6143,None,4 - 7yrs,4,4,58,3,More than 1
Non-creditworthy,No Account,48,No problems,Home Related,6224,None,4 - 7yrs,4,4,50,3,1
Creditworthy,No Account,48,No problems,Home Related,6681,100 - 1000,< 1yr,4,4,38,3,1
Non-creditworthy,No Account,48,Paid Up,Home Related,6758,None,< 1yr,3,3,31,2,1
Non-creditworthy,No Account,48,some problems,Used Car,7119,None,< 1yr,3,4,53,3,More than 1
Creditworthy,Some Balance,48,No problems,Home Related,7238,100 - 1000,4 - 7yrs,3,3,32,2,More than 1
Creditworthy,No Account,48,Paid Up,Home Related,7476,None,1 - 4yrs,4,4,50,3,1
Creditworthy,No Account,48,No problems,Home Related,7582,< 100,< 1yr,2,4,31,2,1
Non-creditworthy,No Account,48,some problems,Home Related,7685,None,1 - 4yrs,2,3,37,1,1
Creditworthy,Some Balance,48,No problems,New Car,8858,100 - 1000,1 - 4yrs,2,4,35,3,More than 1
Non-creditworthy,No Account,48,Paid Up,Used Car,9960,None,< 1yr,1,3,26,2,1
Creditworthy,No Account,48,some problems,Home Related,12169,100 - 1000,< 1yr,4,4,36,3,1
Creditworthy,No Account,48,some problems,Home Related,12204,100 - 1000,< 1yr,2,3,48,2,1
Non-creditworthy,No Account,48,Paid Up,Home Related,15672,None,< 1yr,2,3,23,2,1
Non-creditworthy,No Account,48,some problems,Home Related,18424,None,< 1yr,1,2,32,2,1
Non-creditworthy,No Account,60,Paid Up,Home Related,6288,None,< 1yr,4,4,42,3,1
Creditworthy,Some Balance,60,Paid Up,Home Related,6527,100 - 1000,< 1yr,4,4,34,3,1
Non-creditworthy,No Account,60,No problems,Home Related,6836,None,4 - 7yrs,3,4,63,2,More than 1
Creditworthy,No Account,60,No problems,Other,7418,100 - 1000,< 1yr,1,1,33,2,1
Creditworthy,No Account,60,No problems,Home Related,7418,100 - 1000,< 1yr,1,1,27,2,1
Creditworthy,No Account,60,No problems,Home Related,9157,100 - 1000,< 1yr,2,4,27,3,1
Creditworthy,Some Balance,60,No problems,Home Related,13756,100 - 1000,4 - 7yrs,2,4,63,3,1
Non-creditworthy,No Account,60,Paid Up,Home Related,14027,None,1 - 4yrs,4,4,27,2,1
